station_id,adresse,ville,cp,latitude,longitude
11150002,ld croix de l'ourmet  RN 113,VILLEPINTE,11150,4327933.715,209377.15565
11160002,ZA les Terres Rouges - avenue du Minervois,Villeneuve-Minervois,11160,4331400,247000
11160003,Avenue Ernest Ferroul,Peyriac-Minervois,11160,4328458.3541238,257478.0754133
11170002,AVENUE DE TOULOUSE,ALZONNE,11170,4325500,216800
11200001,AVENUE DES CORBIERES,LéZIGNAN-CORBIèRES,11200,4318900,275300
11200002,RD6113,LéZIGNAN-CORBIèRES,11200,4320400,278200
11200003,aérodrome Montpellier Méditerranée,Mauguio,34130,4358000,395300
11200006,Rue de L'Estagnol,LéZIGNAN-CORBIèRES,11200,4318700,275100
11200007,ROUTE DEPARTEMENTALE 610,HOMPS,11200,4326500,271800
11200008,RN 113 - 2 AVENUE DU MARECHAL F,LEZIGNAN CORBIERES,11200,4320000,275000
1120004,Cours de la Portelle,MONTLUEL,01120,4585300,505900
1120005,Route de Thil,LA BOISSE,01120,4584700,504800
1120006,521 ROUTE NATIONALE,La Boisse,01120,4584600,504100
1120008,AUTOROUTE A42 - AIRE DE LYON MONTUEL,DAGNEUX,01120,4584700,507400
1120009,A 42 AIRE DE LYON DAGNEUX,DAGNEUX,01120,4584315.9,506960.9
11210002,"928, Boulevard Général de Gaulle",PORT-LA-NOUVELLE,11210,4301500,305000
11220001,"69, avenue de Narbonne",SAINT-LAURENT-DE-LA-CABRERISSE,11220,4308700,270300
11250001,"100 chemin de la plaine, station service total",Rouffiac d'Aude,11250,4312400,229400
11260001,Route de Quillan,Espéraza,11260,4293796.2357116,223575.43638609
11290001,A61 Aire d'Arzens Sud,ARZENS,11290,4322100,220600
11290002,A61 Aire d'Arzens Nord,ARZENS,11290,4322100,220200
11290003,28 AVENUE DU LAURAGAIS,MONTREAL,11290,4320000,213900
11290005,Lieu dit Le GOUTAL - Route d'ALAIRAC - D211,LAVALETTE,11290,4318497.3456198,226045.46015442
11300001,"16, avenue Camille Bouché",Limoux,11300,4306103,221442
11300003,23 AVENUE CAMILLE BOUCHE,Limoux,11300,4305900,221400
11300004,"1, rue Georges Guynemer",Limoux,11300,4307300,222300
11300006,59 avenue de Catalogne,LIMOUX,11300,4304500,222400
1130002,867 ROUTE DE GENEVE,LE POIZAT LALLEYRIAT,01130,4616700,569100
1130003,RTE DE LA CLUSE RN 84,NANTUA,01130,4615800,560400
11310001,698 rue Bernard Marty lot las fountetos,Saissac,11310,4336297.8379985,216139.41268092
11360002,22 AVENUE DE NARBONNE,DURBAN-CORBIERES,11360,4299721.8294324,281934.64003296
