station_id,marque
18330001,Avia
18350001,Intermarché
18350003,Total
18370001,Station Service Intermarché
18390003,Carrefour
18390004,Intermarché
18390005,Elan
18400001,Super U
18400004,Carrefour
18410002,Système U
18500004,Intermarché
18500006,Eni
18500007,Esso
18500008,Carrefour
18520001,Intermarché
18570002,Carrefour
18600001,Avia
18600003,Intermarché
18700001,Carrefour
18700003,Intermarché
18800001,Avia
19000002,E.Leclerc
19000006,Intermarché
19000008,TotalEnergies
19100001,Auchan
19100009,Intermarché
19100010,Intermarché
19100011,E.Leclerc
19100014,Esso
19100015,Esso
19100016,Total Access
19100017,TotalEnergies
19110001,Carrefour
19110003,TotalEnergies
19120001,Intermarché
19130001,Huit à 8
19130002,Carrefour
19130003,Total
19130004,Intermarché
19140001,Super U
19140003,Intermarché
19150002,Station U
19160001,Intermarché
19170001,TotalEnergies
19190001,Carrefour
19190002,Total
19200002,Avia
19200003,E.Leclerc
19200006,TotalEnergies
19200007,Intermarché
19210001,Super U
19230001,Intermarché
19240002,Carrefour Contact
19240003,Intermarché
19250001,Elan
19250003,Intermarché
19250006,Netto
19260002,Intermarché
19270003,Intermarché
19270004,Total
19290002,Station-service de La Pierre Grosse
19300001,Auchan
19300002,Super U
19300003,TotalEnergies
19316001,Carrefour
19330002,Carrefour Contact
19340003,Avia
19350002,TotalEnergies
19360002,Elan
19360003,Système U
19400005,Total
19400006,Intermarché
19460002,Total Access
19490002,Total
19500002,Système U
19510002,Total
19550001,Avia
19600001,Carrefour Contact
19600003,Total Access
19600004,Shell
1960001,Carrefour
1960005,Intermarché
1960006,Eni
19700001,Super U
19800004,Pro-Tech Auto
19800005,Shell
19800007,TotalEnergies
1980001,Total
20000002,Vito
20000006,Total Access
20000007,TotalEnergies
2000002,Carrefour
2000003,Carrefour
2000005,Total
2000007,Esso Express
2000008,E. Leclerc
2000009,Intermarché
2000011,Total Access
20090001,Station Vito Rocade Nord
20090002,TotalEnergies
20090004,Vito
20090007,Vito
20090011,Station Vito Rocade Impériale
20090014,Esso
20090015,Esso
20100001,Total
20100003,Vito
20100005,Vito
20110003,Esso
20110006,Vito
20111001,Vito
20113001,Total
20113002,Total
20115001,Esso
20118001,TotalEnergies
20129001,Vito
20130002,Total
20131001,Vito
20131002,Total
20137004,Total
20137005,Total
20137006,Total
20137007,Total
20137008,Vito
20137009,Vito
20137010,Total
20140001,Vito
20144002,Vito
20144003,Vito
20145001,Total
20145004,TotalEnergies
20147001,Total
20148001,Esso
20153003,Total
20156001,Vito
20160001,Esso
20166002,Total
20166004,Vito
20166005,Vito
20166006,TotalEnergies
20167003,Vito
20167004,Total
20167005,Vito
